Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Cellular_Component_2023	Cornified Envelope (GO:0001533)	39/41	1.1448098224211802e-13	5.1172999062226744e-11	0	0	29.04084559740584	865.3697948399326	SPRR2E;SPRR2F;SPRR3;CSTA;SPRR2G;TCHH;EVPL;PPL;TGM1;SCEL;PI3;SPRR2A;SPRR2B;RPTN;SPRR2D;DSP;CDSN;JUP;KRT2;KRT1;KAZN;KRT10;CNFN;LCE1D;FLG2;PKP2;DSG1;LORICRIN;PKP1;DSG2;DSG3;PKP3;DSG4;DSC1;SPRR1A;DSC2;IVL;SPRR1B;FGFR1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Neuron Projection (GO:0043005)	305/557	1.961960337080481e-12	4.384981353374874e-10	0	0	1.82531236178682	49.20508583197463	EPHB6;CPNE6;STMN2;STMN4;HTR4;CRHBP;HTR6;HTR7;SCN11A;STMN1;HMCN2;DIP2B;ANKS1A;EPHB2;VSTM5;EPHB1;CMKLR2;PRKCG;EPHA5;EPHA4;EPHA7;CXADR;UNC13A;EPHA6;MAP1S;EPHA8;ANK3;PDYN;CPT1C;GABRG3;UHMK1;SLC5A7;SHTN1;BIN1;MAP1B;MAP1A;ADGRB1;RIN3;STX1A;GPM6A;TPH1;ADCYAP1R1;EPHA10;CRHR1;IGSF9;CRHR2;FXR1;PENK;MAP7;MAP6;APOE;KCNN3;KCNN4;HOMER2;RAB27A;RAB39B;NR1D1;L1CAM;GRIN2B;SLC6A6;CPEB1;GRIN3A;TH;PTK7;PNOC;PPT1;IGSF9B;SCN2A;CD200;RET;PCSK1;GABRB1;NRSN2;ROBO4;TENM2;NRSN1;TENM3;KCNC1;KCNC2;KCNC3;KCNC4;SLC6A2;KIF17;MYPN;SLC6A3;SLC6A4;PCLO;DNER;KIF13B;NEFL;NEFM;BBS7;KIF1A;NEFH;SLC18A2;GIT1;CCR2;PACRG;MME;ACAD9;INSRR;SYP;RHOC;CCSAP;PRSS12;GCHFR;CLDN11;NPY4R2;PICK1;MAPT;RGS7BP;DSCAML1;VAMP2;DBN1;OPRD1;PRKN;PLPPR1;GRP;KCNA1;AMIGO1;KCNA2;IGHMBP2;KCNA4;ADCY2;ADCY8;TRAK2;CHRND;GLRA1;GLRA3;CHRNG;CHRNE;CHRNA10;NCDN;CTNNA2;GABRD;GABRA2;GABRQ;FARP1;RIC3;GABRP;GABRA5;KCNB1;STAT1;GABRA4;KCNB2;GABRA3;DAB2IP;SEPTIN3;SEPTIN4;GRIN1;SLC8A3;GARS1;GPR149;GHRL;CDK5R2;ADGRL3;CHRM2;CHRM1;RAB3A;CHRM4;CHRM5;SYAP1;FAM107A;PARK7;CYP46A1;SLC8A2;RPH3A;ARHGAP44;SCGN;TMEM266;TUBB3;ADORA3;ADORA1;CAPN2;SACS;NRCAM;RGS9;RGS6;KPNA1;RGS7;CHRNB2;CHRNB4;SEMA6A;DSCAM;SLC30A3;MAGI2;NPY1R;SRCIN1;ADCYAP1;SLC9A5;FRMD7;SMO;RGS9BP;SCN8A;PHAF1;CHRNA3;CHRNA2;RTN1;CHRNA5;CHRNA4;CHRNA7;SLC1A1;MCHR1;RTN4;BAG2;HRH3;KIF3B;HRH2;ABL1;SLC38A7;NPTX1;DRD2;BRINP3;DRD4;MARK2;MARK1;PRPH;MPST;SYT5;HSPA8;HTR1E;HTR1F;HTR1B;NSG1;SYT8;SYT7;DLG2;DLG3;NF1;CNTN1;CNTN2;CNTN4;CNIH4;DOCK7;MAST1;HTR2B;HTR2C;HTR2A;ELFN1;UNC80;CALB2;GRM3;GRM2;OPA1;GRM7;LRRTM1;BOC;TMEM108;ZNF385A;ARHGEF15;NPY5R;HTR3C;COBL;HTR3A;HTR3B;SSTR1;SSTR2;SSTR4;SSTR5;TMIGD1;IL1RAPL1;DCX;CDH13;TNFRSF25;SHANK3;SHANK1;CX3CR1;CAMK2B;HCN4;HCN3;RGS14;NPY4R;ATP1A4;LRP4;STMND1;LRP2;ATOH7;MAPK8;GNA12;PTK2B;FYN;SNCA;SLC12A2;NTRK2;SKOR1;NLGN4X;SLC12A5;NTRK3;BNIP3;LIMK1;OPRK1;NELL2;KISS1;SLC4A8;GLRB;USH1G;SYT11;RAB13;RGS12;ATXN10;RAB17;ZACN;VIM;VIP;ZPR1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Cell-Cell Junction (GO:0005911)	175/299	1.1288229063315168e-10	1.68194613043396e-08	0	0	2.116219274623274	48.47131580584589	PATJ;CTNND2;AQP7;PARK7;CLDN2;F11R;AQP3;CLDN1;PVR;FGFRL1;CDH8;ACTG1;CDH7;CDH5;BAIAP2L2;CDH4;BAIAP2L1;CDH3;POF1B;TRIM29;CDH1;GJA5;GJA4;CCN3;KIRREL1;CXADR;KIRREL2;ACTN1;KAZN;SCRIB;FRMD4B;CLDN5;TIAM1;CLDN4;CLDN3;PARD3;ADGRB1;FSCN1;MYADM;PKP2;PKP1;PKP3;EZR;TLN1;STEAP1;DSC1;DSC2;JCAD;VCL;EPHA2;LLGL2;COL17A1;USP53;FBF1;HPN;PXN;ILDR1;ILDR2;PRKCZ;LIN7B;CNN3;CNN2;IGSF21;SDCBP;FLRT2;EPB41L3;CDH22;NPHP1;CDH26;ECT2;CADM3;CDSN;JAG1;JUP;STARD10;MSN;ALOX15B;IGSF11;GJB2;VANGL2;DLG2;DNMBP;DLG3;GJB3;PTK7;GJB6;TRPV4;FAT2;ESAM;NF2;FGFR4;PALS2;B4GALT1;WDR1;PCDHGB4;SNAP23;PTPRM;PTPRJ;LDB3;FOXM1;RND1;CLDN20;CLDN25;FLOT1;PGM5;CD53;DSP;ANXA2;HEG1;SHROOM2;LSR;SHROOM1;AJAP1;PARD3B;CLDN11;CNKSR1;CEACAM1;SAPCD2;CDH10;CDH11;CLDN19;AMTN;CDH12;CDHR3;PECAM1;CDH13;DSG1;DSG2;TNFRSF25;CDH15;DSG3;ITGA5;DSG4;CRB2;CRB1;PARD6G;DLL1;PRICKLE4;RASIP1;CYTH3;ARVCF;PARD6B;PDLIM3;PARD6A;CCDC85C;MARVELD2;SH3BP1;PDZD11;CCDC85B;PERP;NRAP;FLNA;CTNNA3;CTNNA2;PCDH1;PAK2;JAM2;PDLIM7;JAM3;PAK4;MPP3;SORBS1;WTIP;BAIAP2;CDC42BPA;GRHL2;MAPK15;KRT18;DES;ZYX;NECTIN4;LIMS2;ADGRL3;CRB3;NECTIN1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Keratin Filament (GO:0045095)	34/39	1.75266845042325e-09	1.958606993347982e-07	0	0	10.118210145830735	204.0046317155101	KRT82;KRT81;KRT80;FBF1;KRT85;KRT84;KRT83;FAM83H;TCHP;KRT25;KRT6B;KRT6A;KRT71;KRT3;KRT2;KRT1;KRT79;KRT8;KRT78;KRT77;KRT10;KRT5;KRT76;KRT75;KRT74;KRT73;KRT72;KRT9;KRT18;KRT17;KRT16;KRT14;KRT36;EPPK1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Tight Junction (GO:0070160)	62/93	2.350291208903143e-07	2.10116034075941e-05	0	0	2.9798624140087555	45.48329805561727	PATJ;FRMPD2;CLDN2;F11R;CLDN1;SIPA1L3;CLDN22;CDH5;CLDN20;POF1B;CLDN25;CLDN24;CLDN23;BVES;CGNL1;CXADR;MAGI2;SHROOM2;LSR;ANK3;FRMD4B;TGFBR1;CLDN11;CLDN6;CLDN10;CLDN5;CLDN4;CLDN3;JAML;CLDN14;CLDN9;CLDN8;PARD3;CLDN12;CLDN19;CLDN17;CLDN16;EPHA2;IGSF5;USP53;ILDR1;ILDR2;PARD6G;PRKCZ;CYTH3;PARD6B;PARD6A;MARVELD2;SH3BP1;EPCAM;MARVELD3;ECT2;CYTH1;JAM2;JAM3;AOC1;CGN;CLDN34;RAB13;AMOTL2;EPPK1;TJP3	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Collagen-Containing Extracellular Matrix (GO:0062023)	198/373	3.167854395679009e-07	2.3600515247808616e-05	0	0	1.694191554723429	25.35364631382024	ADAMDEC1;ICAM1;LGALS4;LGALS1;HMCN2;LGALS9;LMAN1L;SERPINF1;COL23A1;FIBCD1;KRT1;SERPINF2;P3H2;P3H1;HSPG2;SFRP2;SLPI;MXRA7;FREM3;SDC3;PDGFB;CFP;APOH;SERPINH1;APOE;A2M;ELANE;FN1;PRG2;PRG4;L1CAM;COL1A1;COL1A2;CILP;COL9A1;ACHE;COL18A1;SRPX;TINAGL1;ELN;TGFB1I1;CTSZ;PCSK6;SHH;CTSL;MMP28;ANXA6;TIMP2;COL10A1;CTSH;ANXA8;CTSG;TPSAB1;CTSC;CTSB;ANXA2;MYOC;AHSG;ANXA5;BGN;SERPINB8;F7;PLSCR1;COL2A1;MMP23B;ANGPTL3;COL21A1;VWA1;ANGPTL5;VWA2;MFGE8;MATN4;MATN3;C1QB;APCS;C1QA;LRRC15;SERPINB12;TNXB;COL11A1;C17ORF58;SRPX2;ABI3BP;GDF10;GDF15;F12;SMOC2;COL3A1;CLC;FMOD;C1QC;PF4;FCN1;FCN2;FCN3;TNC;PLAT;CLU;LOXL1;LOXL2;COMP;EFEMP1;TNN;NPPA;TGM2;CPA3;WNT5B;ADIPOQ;APLP1;WNT5A;ADAM11;PCOLCE;NPNT;COL4A2;COL4A4;COL4A3;COL4A6;S100A6;COL4A5;S100A4;S100A9;S100A8;S100A7;COL17A1;CD151;HTRA1;LTBP4;FBLN1;FBLN2;FBLN5;PSAP;IGFBP7;WNT2;TGFB1;SSC5D;DEFA1;INHBE;GH1;CXCL12;COL5A1;COL5A2;CNTN1;COL20A1;FGFR2;FGFR1;LGALS3BP;PZP;CLEC14A;MDK;EMILIN2;EMILIN1;ADAMTS8;ADAMTS9;EGFL7;VWF;MMP2;MMP8;MMP9;ASPN;DCN;CCNA2;GREM1;MMRN1;COL6A2;COL6A1;MMRN2;AMTN;CDH13;COL6A3;ANG;COL6A6;ZP1;COL6A5;ZP3;ZP2;ZP4;ITIH5;ITIH4;LAMA5;LAMA1;FGL1;LAMA3;PLG;PRELP;ITIH1;COCH;CHADL;CTHRC1;ANGPT4;COL26A1;LAMB3;CMA1;LUM;APOC3;MFAP4;COL7A1;MFAP2;CBLN1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Apical Junction Complex (GO:0043296)	68/106	5.679766532659294e-07	3.6269366287124344e-05	0	0	2.666627138631408	38.349259599925155	PATJ;FRMPD2;CLDN2;F11R;CLDN1;ACTG1;CLDN22;CDH5;CLDN20;POF1B;CDH1;CLDN25;CLDN24;CLDN23;BVES;CGNL1;CXADR;MAGI2;SHROOM2;ANK3;FRMD4B;SHROOM1;TGFBR1;PARD3B;CLDN6;CLDN11;CLDN5;CLDN10;CLDN4;CLDN3;JAML;SAPCD2;CLDN9;CLDN14;CLDN8;PARD3;CLDN12;CLDN19;CLDN17;CLDN16;CRB2;CRB1;IGSF5;USP53;FBF1;CYTH3;PARD6B;PARD6A;CCDC85C;MARVELD2;SH3BP1;EPCAM;MARVELD3;ECT2;CYTH1;JAM3;AOC1;JUP;CGN;SORBS1;PLEKHA7;CAMSAP3;CLDN34;RAB13;AMOTL2;EPPK1;TJP3;CRB3	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Dendrite (GO:0030425)	148/270	8.582345938767389e-07	4.7953857932862786e-05	0	0	1.8131533073962225	25.32682954557746	EPHB6;CHRM2;CHRM1;CHRM4;CPNE6;CHRM5;SYAP1;HTR4;CYP46A1;CLU;SLC8A2;ARHGAP44;LAMP5;CRHBP;SCGN;TMEM266;HTR6;HTR7;TUBB3;ADORA3;ADORA1;CAPN2;SACS;DIP2B;EPHB2;EPHB1;VSTM5;KPNA1;EPHA5;PRKCG;EPHA4;EPHA7;EPHA6;DSCAM;EPHA8;MAP1S;MAGI2;ANK3;CPT1C;PDYN;GABRG3;SRCIN1;UHMK1;SLC5A7;SMO;BIN1;MAP1B;ADGRB1;MAP1A;RIN3;PHAF1;CHRNA3;EPHA10;CHRNA4;SLC1A1;THY1;CRHR2;FXR1;BAG2;HRH3;KIF3B;HRH2;PENK;ABL1;MAP6;APOE;DRD2;BRINP3;DRD4;MARK2;MARK1;HSPA8;HTR1E;HOMER2;HTR1F;RAB27A;HTR1B;NR1D1;NSG1;SLC6A6;PNOC;NF1;CNIH4;TENM2;KCNC1;KCNC2;KCNC3;KCNC4;HTR2B;HTR2C;HTR2A;FOXM1;ELFN1;CALB2;GRM7;OPA1;DNER;KIF1A;SLC18A2;ZNF385A;CCR2;MME;ARHGEF15;ACAD9;COBL;PRSS12;GCHFR;IL1RAPL1;MAPT;DBN1;SHANK1;HCN4;HCN3;RGS14;AMIGO1;KCNA1;KCNA2;LRP4;ADCY2;LRP2;ADCY8;TRAK2;MAPK8;PTK2B;FYN;NCDN;GABRA2;FARP1;NTRK2;SKOR1;NLGN4X;GABRA5;KCNB1;STAT1;GABRA4;KCNB2;BNIP3;GABRA3;HIP1R;ZNF804A;SEPTIN4;GRIN1;SLC8A3;SLC4A8;SYT11;RGS12;ATXN10;RAB17	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Voltage-Gated Potassium Channel Complex (GO:0008076)	50/73	9.89937865026802e-07	4.916691396299784e-05	0	0	3.2362986734433457	44.74384750516355	DPP10;KCNG1;KCNG2;KCNK6;KCNG3;KCNC1;KCNC2;KCNC3;LRRC38;KCNC4;KCNH1;KCNH2;KCNH4;KCND2;KCND3;KCNAB1;KCNQ1;KCNQ2;KCNQ4;KCNQ5;HCN4;HCN3;KCNE1;KCNA1;KCNE5;KCNA2;KCNA4;KCNA5;KCNA6;KCNA7;LRRC55;LRRC52;KCNV1;DPP6;KCNV2;KCNMB1;KCNMB3;KCNN4;KCNJ3;KCNJ4;KCNF1;KCNJ5;LRRC26;KCNJ6;KCNJ8;KCNB1;KCNB2;KCNJ14;KCNJ16;KCNK1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Bicellular Tight Junction (GO:0005923)	54/81	1.3923010374791403e-06	6.223585637531757e-05	0	0	2.977883293764838	40.15542437859333	PATJ;FRMPD2;CLDN2;F11R;CLDN1;CLDN22;CDH5;CLDN20;POF1B;CLDN25;CLDN24;CLDN23;BVES;CGNL1;CXADR;MAGI2;SHROOM2;ANK3;FRMD4B;TGFBR1;CLDN11;CLDN6;CLDN10;CLDN5;CLDN4;CLDN3;JAML;CLDN14;CLDN9;CLDN8;PARD3;CLDN12;CLDN19;CLDN17;CLDN16;IGSF5;USP53;CYTH3;PARD6B;PARD6A;MARVELD2;SH3BP1;EPCAM;MARVELD3;ECT2;CYTH1;JAM3;AOC1;CGN;CLDN34;RAB13;AMOTL2;EPPK1;TJP3	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Basolateral Plasma Membrane (GO:0016323)	99/171	2.3057857509856844e-06	9.369874824460008e-05	0	0	2.051096381000251	26.62341367511977	TFRC;AQP8;AQP9;FRMPD2;AQP7;AQP4;SLC4A1;AQP3;CLDN1;SLC4A4;AQP1;BEST1;ENPP1;SLC16A7;SLC39A5;SLC16A8;SLC39A8;SLC16A3;CXADR;ATP1B3;ANK3;SLC51A;SLC51B;MYL1;KCNQ1;ALPK2;EZR;RHCG;SLC22A3;NDRG4;EPB41;C5AR1;SLC22A1;PDGFB;SLC41A1;TGFA;LIN7B;CALHM1;SLC19A1;GPIHBP1;SLC10A1;SLC16A12;SLC4A11;SLC16A10;SLC6A6;SLC6A9;SLC22A7;SLC26A6;SLC26A5;B4GALT1;KCNC2;AQP10;SLC2A1;IDE;PTH1R;CA4;FLOT1;ABCC3;ABCC4;ABCC1;PIANP;ANXA2;SLC39A14;ADRA2A;AJAP1;AQP7B;SLC7A8;CEACAM5;CLDN19;TLR9;SLC29A4;SLC29A1;ATP6V1B1;SLC29A2;SLC47A1;SLC43A3;NOD2;ABCB11;ADCY8;SLC7A1;AURKA;NKD2;ERBB3;MARVELD2;EPCAM;ERBB4;PDZD11;ERBB2;BSND;STX2;RHBG;KCNJ4;CA11;SLC16A1;TSHR;SLC4A9;MYO1A;RAB17;FOLR1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Intermediate Filament (GO:0005882)	47/69	2.6569646232467808e-06	9.897193221594258e-05	0	0	3.1794745204857566	40.81913105709858	KRT82;KRT81;KRT80;FBF1;KRT20;EVPL;KRT85;PPL;KRT84;KRT83;TCHP;FAM83H;KRT25;NEFL;NEFM;KRT6B;KRT6A;PRPH;DSP;KRT71;KRT3;KRT2;KRT1;KRT79;KRT8;KRT78;KRT77;KRT5;KRT76;KRT10;KRT75;KRT74;KRT73;KRT72;KRT9;BFSP2;KRT18;KRT17;KRT16;KRT36;KRT14;PKP2;PKP1;EPPK1;VIM;INA;HLA-DRB1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Potassium Channel Complex (GO:0034705)	52/81	1.148203732991687e-05	0.0003948054374209878	0	0	2.668711365741239	30.355862466669393	DPP10;KCNG1;KCNG2;KCNK6;KCNG3;KCNC1;KCNC2;GRIK5;KCNC3;LRRC38;KCNC4;CCDC51;KCNH1;KCNH2;KCNH4;KCND2;ABCC8;KCND3;KCNAB1;KCNQ1;KCNQ2;KCNQ4;KCNQ5;KCNE1;KCNA1;KCNE5;KCNA2;KCNA4;KCNA5;KCNA6;KCNA7;LRRC55;LRRC52;KCNV1;DPP6;KCNV2;KCNMB1;KCNMB3;KCNN4;KCNJ3;KCNJ4;KCNF1;KCNJ5;LRRC26;KCNJ6;KCNJ11;KCNJ8;KCNB1;KCNB2;KCNJ14;KCNJ16;KCNK1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	45/68	1.3925942395347668e-05	0.0004446354464800291	0	0	2.910851114632399	32.54843011207214	CHRM2;FCGR1BP;TFRC;CLTC;TYRP1;TGFA;CD3G;LRP2;AREG;CD3D;SLC2A8;TGOLN2;APOE;APOB;FCGR1A;HLA-DQA2;KIAA0319;AP2M1;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB5;FZD2;EGF;AVPR2;WNT5A;AP2B1;SYT9;F3;IGF2R;EREG;BTC;VAMP8;GNAO1;CD4;EPGN;CD207;CD9;HLA-DRA;ROR2;IL7R;CFTR;HLA-DQB2;VAMP2;HLA-DRB1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle (GO:0045334)	53/85	3.186827288918997e-05	0.0009496745320978612	0	0	2.46471686031984	25.519430971786186	CHRM2;FCGR1BP;TFRC;CLTC;CLTB;CD3G;AREG;CD3D;SLC2A8;CTLA4;AP2M1;HLA-DPA1;SFTPB;SFTPC;AVPR2;SFTPD;WNT5A;F3;EREG;BTC;VAMP8;ROR2;CFTR;HLA-DQB2;VAMP2;CEMIP;SFTPA2;TYRP1;TGFA;LRP2;TGOLN2;APOE;APOB;FCGR1A;HLA-DQA2;KIAA0319;HLA-DQA1;CD74;HLA-DRB5;FZD2;EGF;AP2B1;SYT9;IGF2R;GNAO1;CD4;EPGN;CD207;CD9;HLA-DRA;SFTPA1;IL7R;HLA-DRB1	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Polymeric Cytoskeletal Fiber (GO:0099513)	139/265	3.712982054097147e-05	0.0010373143613633	0	0	1.646402410421102	16.795099367511177	WIPF1;ACTG1;PYCARD;CRHBP;TUBB6;POF1B;KIF5C;TUBB3;DPYSL2;TUBB1;COTL1;KIF21A;KIF21B;SYBU;KRT6A;PLS1;DYNC2H1;TMOD1;TPM4;ACTN2;KRT3;MAP1S;TPM3;ACTN1;KRT2;TPM2;KRT8;KRT5;KRT76;KRT75;MID1;TUBA4B;TUBA4A;KATNAL1;MAP1B;MAP1A;PKP2;PKP1;KIF20A;EZR;KIF20B;TWF2;MEFV;EVPL;PPL;CORO1A;BAG2;KIF3B;MAP6;KIF3C;TPPP;GAS2L1;GAS2L2;MARK2;PRPH;TUBB8B;MICAL2;DCDC2;AIF1L;DIAPH1;BFSP2;DIAPH2;DIAPH3;FLACC1;GJB6;MAP6D1;HLA-DRB1;TUBA8;KIF14;LMOD1;KIF12;KIF11;KRT20;KIF17;KIF15;LMOD2;TUBA1B;PSTPIP1;KIF19;TUBA1A;OPA1;KIF13B;RAC2;TCP11L1;NEFL;NEFM;KIF1A;DSP;CCT2;TRIM63;KIF25;COBL;KIF23;KIF22;KIF7;KIF6;DNM2;HCK;ACTA1;TUBB2B;TUBB2A;KIF2A;KIFC2;GAS2;ARHGEF2;MAPT;EFHC2;LCP1;MAPRE1;INA;RHOQ;TRIM55;TUBAL3;WAS;KATNB1;AIF1;TUBA3E;DCDC2C;DCDC2B;FSD1;MISP;BBLN;CCT5;DMTN;MX1;KRT10;ACTL8;TUBB4A;CENPE;TPPP3;MYO1B;KRT18;TPPP2;ACTC1;KRT16;TTLL1;KRT14;EPPK1;VIM	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Endoplasmic Reticulum Membrane (GO:0005789)	377/801	4.230614637490381e-05	0.0011124027899754	0	0	1.3336106402319183	13.430230211596792	FAAH;PGAP2;PGAP3;KDELR1;CISD2;ZDHHC2;CYP4Z1;STS;ZC3H12A;BCAP29;CYP1B1;LRAT;PTGDS;ALG8;ACSL1;LMAN1L;ACSL6;HLA-B;ALG1;SLC51A;HLA-F;HLA-E;CTAGE1;CYP39A1;SOAT1;CYP2U1;SOAT2;CTAGE9;TYRO3;KDELR2;ULK1;CYP2E1;KDELR3;HPD;CFTR;CTAGE15;CDS1;HACD1;TMEM238L;FICD;RPN2;SLC35D1;SAR1B;TTYH1;HPN;B3GLCT;MGST1;TGFA;MGST2;UBE2J1;CYB5R2;CYB5R1;HSD11B2;CYB5R4;GRIN2A;SGPL1;CYP2B6;RDH16;HMOX1;SSR1;MLEC;APOB;HLA-DQA2;HLA-DQA1;SEC31A;HLA-DRB5;TMEM86B;ICMT;CYP4F2;TREX1;CYP4F3;SURF4;ERLIN1;FZD9;SLC16A11;CIDEB;CYP4F8;GRIN2C;GRIN2B;RPE65;GRIN2D;CYP2C9;ACER1;CYP26A1;FA2H;CYP2C8;GRIN3A;MYMX;TBL2;GJB1;NCEH1;CYP2S1;ACER3;CYP1A2;CALU;CYP1A1;NOX4;CYB5RL;LDAF1;CALR;HLA-DRB1;CDS2;RYR1;RYR2;PIGT;MOGAT2;MOGAT1;PIGP;TECR;LPCAT1;FMN2;IER3IP1;AREG;SPPL3;PIGY;RYR3;JPH4;JPH3;MMP27;SPTLC3;RAC2;UBXN8;FLVCR2;TMED2;SEC61B;HRAS;HLA-DPA1;VKORC1;ELOVL1;SFTPB;PCYT1B;SEC13;TMED9;GRAMD2A;ELOVL4;STARD3NL;ELOVL5;SFTPC;IZUMO1;SFTPD;COPZ2;SLC39A13;ELOVL7;SLC35G1;CYP7B1;RHOC;DCSTAMP;CYP21A2;TMEM33;CANX;PIGK;TLR9;TLR8;PIGM;HLA-DQB2;RAPSN;DDR2;GRAMD1C;GRAMD1B;GRAMD1A;GUCY2D;ATL1;DERL3;TMPRSS4;DERL1;HSD17B3;DERL2;FITM1;GDPD3;CYP7A1;CYP17A1;EXTL1;LMAN2;EMC1;HSD17B2;TM4SF20;HAS2;CD59;GPAT3;SPTSSB;APOL2;CD74;FMO2;USP17L2;CYP8B1;SVIP;ARCN1;TMCO1;GRIN1;YIF1B;VMP1;SLC8A3;ERP44;CYP2W1;XK;DHRS9;STING1;PNPLA3;ESYT3;ESYT2;ANKS4B;PLP2;COPG1;ERO1A;DPAGT1;UGT1A10;TUSC3;PROS1;HFE;SPPL2A;PLOD3;MYRFL;PLOD1;CYP46A1;CLGN;TM7SF2;POFUT2;SLN;SLC39A7;TMEM38B;TMEM14A;FADS1;PDGFRA;DGAT2;ATG9B;SPINK5;ALG14;TAP1;CYBA;MR1;PGF;PDIA5;SELENON;TMEM258;SLC27A2;SLC27A4;NOTCH3;COPB2;NDRG4;COPA;RTN1;TMED10;ABHD4;NOTCH4;PLD4;ITPR2;ITPR3;DNAJC25;CYP2C19;PLD1;CYP4F22;CYP19A1;CYP2C18;RTN4;PLD2;ADGRG6;DHRS7C;PDZD8;CYP2J2;OST4;SLC37A2;OSBPL6;SLC37A1;TOR1A;SRD5A2;HSPA5;SRD5A1;RHBDD1;DOLK;DHCR24;BFAR;CYP4F11;DGAT2L6;CYP4F12;ABHD12B;DNAJC18;GNAO1;REEP1;G6PC2;G6PC3;NAT8;GGCX;REEP4;REEP3;TBXAS1;REEP2;STT3A;BCL2;CDK1;HLA-DRA;SRPRB;DEGS1;DEGS2;STT3B;DHCR7;RNF183;RNF186;CNIH4;GPSM1;MOXD1;SRXN1;ADPGK;ATP2A3;ATP2A2;SEC61A1;SDR16C5;CYP26B1;GRM6;CYP4V2;CYP2R1;SLC37A3;CERS3;CERS4;SLC36A2;CYP4A11;CYP3A43;RHBDF2;VPS13A;PLAUR;PLA2G4A;DDOST;TRDN;FREY1;CYP26C1;DAD1;NOS1AP;CASQ2;TMBIM6;CASQ1;SEC22B;UGT2B7;CERS2;AGPAT5;PON3;MRLN;PPM1L;SFTPA2;HM13;GOSR2;PON1;HSD17B12;SRI;HMGCR;AGPAT1;CYP3A4;LTC4S;CYP3A5;AGPAT4;PLN;AWAT1;AWAT2;MLANA;BNIP1;UGT1A4;UGT1A9;SEC11A;LRRC8E;UGT1A6;GALNT2;RNF26;HSD3B1;PLA2G2A;B3GAT1;CYP4B1;SGPP2;TM6SF2;DNAJA1;CD4;GLB1;SCD;ATP13A4;POMK;BAX;SFTPA1;FOLR1;LPIN2;MYORG	Normal_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Endocytic Vesicle Membrane (GO:0030666)	88/159	8.35659679539189e-05	0.0020752215375223	0	0	1.846479049980647	17.33820599713748	CHRM2;FCGR1BP;CSF3R;TFRC;HFE;CLTC;SNAP23;CD3G;AREG;CD3D;SLC2A8;PIP4P2;STAB1;RAC2;CD36;AP2M1;HLA-DPA1;ATP6V0E1;WNT5B;ANXA3;SLC11A1;WNT5A;AVPR2;ENTPD7;HLA-B;TAP1;CYBA;HLA-F;F3;ATG12;EREG;HLA-E;DNM2;BTC;VAMP8;SMO;GPR161;PICK1;ROR2;CLEC4E;SEC22B;CFTR;HLA-DQB2;VAMP2;CAMK2B;TYRP1;TGFA;ADRB2;LRP2;TGOLN2;WNT6;CACNG8;ATP6V0A4;APOE;APOB;WNT1;FCGR1A;HLA-DQA2;KIAA0319;GRIA3;HLA-DQA1;WNT3;CACNG4;ATP6V0A1;WNT4;CD74;HLA-DRB5;FZD2;WNT3A;EGF;NOS3;WNT7B;WNT7A;AP2B1;SYT9;IGF2R;GNAO1;MARCO;CD4;EPGN;CD207;MDM2;NOSTRIN;HLA-DRA;CD9;CALR;IL7R;HLA-DRB1	Normal_only	GO_Cellular_Component_2023
