Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription (GO:0006355)	244/1922	1.0064121466684687e-15	3.616038842979808e-12	0	0	1.8720437022109977	64.64613333477367	ZNF292;JMJD1C;BACH1;IKZF4;IKZF5;ELK4;ZXDA;ZXDB;GPBP1;EPC1;EPC2;SUPT20H;CCNL2;RNF111;SOX4;DDX17;MEF2C;SMARCC2;SP110;RFX3;HCFC2;MED4;ZNF14;DKK3;RFX7;ZFPM2;ZNF397;URI1;ZNF395;TSHZ1;MYNN;BAZ2B;ZNF24;HTATSF1;CDKN2AIP;ZNF709;RAD21;DHX36;HESX1;ZNF700;CDK17;WWTR1;ZNF143;ZNF383;FZD7;IL31RA;NFATC3;NR1D2;SMARCA2;MLLT11;FUBP3;ID2;CREBRF;HBP1;RBAK;LIN54;SETD5;ZNF44;RSF1;MEOX2;ING1;MED17;ING4;MED14;EDRF1;NIPBL;ING2;MED13;ING3;ZMYM2;NCOA1;SS18;NCOA2;ATMIN;PROX2;BAZ1A;ASH1L;ZHX1;SIRT1;PHF20L1;MED23;KAT2B;GCFC2;SLTM;AEBP2;MTF2;ZNF236;PLCB1;ZNF597;SP100;ZNF350;NFIX;SATB1;CIPC;ZNF518A;NSD3;PURB;BCLAF1;BTAF1;NFIL3;NSD1;HSF2;BRD8;BRD7;APBB3;ZNF224;SRSF10;ZNF100;STAT3;WWP1;GTF2H1;ZNF33A;NFIA;ZNF217;CRLF3;MPHOSPH8;ZNF331;CCNT2;CCNT1;NAB1;JADE1;UBP1;ARID4A;YEATS4;ARID4B;YY1;ZNF326;ARID2;ZNF202;ZNF443;ZNF564;ZNF442;MAP3K5;ZNF441;ZNF562;PCID2;ZNF680;ANKRD49;DYRK1A;THOC1;ZBTB33;FOXP1;DMTF1;KAT6B;TBL1XR1;KAT6A;ZNF318;PHIP;ZNF799;ADNP;ZNF675;ZNF431;ZNF430;KMT2E;DDX5;ZNF791;KMT2A;FOXO3;FOXO1;ZFP36L2;ATXN1;MED30;ATXN7;TTC21B;MED31;MBIP;TASP1;ZKSCAN4;NDP;BPTF;CBX5;PHF10;ZBTB14;BICRAL;TGFB3;ZBTB11;FOXN3;SMAD5;SMAD7;TFCP2;SP4;JMY;PHF14;ZNF658;ZNF536;TCF4;LHX4;BRWD1;OGT;BRWD3;NFE2L2;PICALM;KDM5A;CREBZF;ZC3H8;HMGB1;CHD2;LBH;TRPS1;ZNF644;LRRFIP1;YAF2;USP47;TGIF2;ACTR6;EED;ATRX;DNMT3A;MSL2;MSL3;ZFP91;ZNF75D;MSL1;ELF1;ELF2;ZNF519;IRF2;SOS1;CREB5;NFAT5;HDAC2;USP16;NR2C2;LRP6;ZNF627;ZNF506;TP53INP1;ZNF625;ZNF502;VHL;ZNF740;ATF7IP;TCF7L2;KDM4C;FOXJ3;CDC5L;TBX3;KANSL2;KLF9;POLR3F;TAF7;NAA16;TAF5;SSBP2	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	248/2028	4.4596152390441984e-14	8.011698776942901e-11	0	0	1.788283121848267	54.97384179548126	ZNF177;TCERG1;ZNF292;JMJD1C;CCNC;GABPB1;BACH1;IKZF4;IKZF5;ELK4;ZXDA;TBK1;ZXDB;EPC1;EPC2;SUPT20H;CCNL2;ZNF169;SOX4;MEF2A;DDX17;MEF2C;SMARCC2;SP110;RFX3;DICER1;HCFC2;MED4;ZNF14;RFX7;ZFPM2;ZNF397;URI1;ZNF395;TSHZ1;CTR9;ZBTB1;MYNN;BAZ2B;RTF1;ZNF24;HTATSF1;PRDM10;CDKN2AIP;MED12L;ZNF709;PPP3R1;MIER3;RAD21;DHX36;HESX1;ZNF700;WWTR1;ZNF143;ZNF383;NFATC3;NR1D2;SMARCA2;SETX;ZBTB6;FUBP3;ID2;CREBRF;HBP1;CDK12;RBAK;ZNF136;EZH1;ZNF131;ZNF44;MEOX2;EFCAB7;N4BP2L2;ING1;MED17;PPP3CA;MED14;NIPBL;ING2;MED13;ZMYM5;ZNF248;ZNF124;NCOA1;SS18;NCOA2;ATMIN;NCOA3;PROX2;BAZ1A;ZHX1;SIRT1;PHF20L1;MED23;KAT2B;SLTM;AEBP2;RARB;ZNF236;ZNF597;TLR2;SP100;ZNF350;NFIX;SATB1;ZNF518A;ZNF8;PURB;BCLAF3;BCLAF1;NFIL3;PLAGL1;NSD1;HSF2;BRD8;TAF9B;BRD7;ZNF224;SF3B1;IFNB1;USP9X;STAT3;ZNF77;NFIA;ZNF217;CRLF3;CCNT2;CCNT1;KDM1B;ZBTB26;JADE1;UBP1;ZBTB20;ARID4A;YEATS4;ARID4B;YY1;ARID2;ZNF202;ZNF443;ZNF564;ZNF442;ZNF441;MORC3;ZBTB37;ZBTB33;FOXP1;DMTF1;TBL1XR1;ZNF559;ZNF558;PHIP;ZNF799;ADNP;ZNF675;ZNF431;DDX5;ZNF791;KMT2A;TNKS;KMT2C;FOXO3;FOXO1;PHF21A;ATXN1;ATXN7;TTC21B;MED31;ORC2;MBIP;ZKSCAN4;ZNF785;BPTF;CBX5;PHF10;BICRAL;TGFB3;CBX1;SMAD5;SMAD7;AHI1;DLG1;COPS5;TFCP2;SP4;CAPRIN2;JMY;PHF14;ZNF536;TCF4;LHX4;BRWD1;OGT;BRWD3;RIGI;NFE2L2;CREBZF;THRB;DDX3X;LDB2;HMGB1;CHD2;MYSM1;FLCN;ZNF529;TRPS1;ZNF644;LRRFIP1;ZNF641;TGIF2;EED;ATRX;DNMT3A;ZFP91;ZNF75D;ZNF75A;SENP1;ELF1;ELF2;IRF2;SOS1;CREB5;NFAT5;HDAC2;USP16;ZBTB49;NR2C2;PPM1D;CXXC5;LRP6;ZNF627;ZNF625;FNIP1;ZNF740;TCF7L2;KDM4C;FOXJ3;ZNF180;CDC5L;TBX3;BRMS1L;KLF9;TAF7;TAF5;PAXBP1;SSBP2;SSBP3;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	160/1243	5.827463740903693e-11	6.97935907368899e-08	0	0	1.8501838400501691	43.601162531032266	TCERG1;CCNT2;CCNT1;KDM1B;UBP1;CCNC;YEATS4;GABPB1;YY1;ELK4;ZXDA;TBK1;EPC1;EPC2;SUPT20H;RNF111;SOX4;MAP3K5;HMGN1;MEF2A;DDX17;MEF2C;PCID2;SMARCC2;ANKRD49;DYRK1A;THOC1;RFX3;WDR75;MED4;KAT6B;TBL1XR1;KAT6A;ZNF318;PHIP;ZFPM2;KMT2E;ZNF395;KMT2A;TNKS;KMT2C;CTR9;ZNF24;FOXO3;PRDM10;FOXO1;MED12L;PPP3R1;MED30;ATXN7;DHX36;TASP1;NDP;BPTF;WWTR1;ZNF143;TGFB2;BICRAL;TGFB3;FZD7;EIF2AK3;IL31RA;NFATC3;NR1D2;SMARCA2;SMAD5;MLLT11;SETX;AHI1;TFCP2;COPS5;FUBP3;ID2;CAPRIN2;CREBRF;TCF4;CDK12;LHX4;OGT;NFE2L2;RIGI;PICALM;CREBZF;KDM5A;DDX3X;THRB;ZC3H8;RSF1;HMGB1;LDB2;EFCAB7;MEOX2;MYSM1;ING1;MED17;PPP3CA;FLCN;EDRF1;MED14;ING2;MED13;ING3;LBH;YAF2;NCOA1;SS18;NCOA2;ATMIN;ACTR6;NCOA3;ATRX;MSL2;MSL3;SIRT1;MSL1;SENP1;KAT2B;ELF1;ELF2;IRF2;RARB;PLCB1;CREB5;TLR2;NFAT5;HDAC2;SP100;NFIX;USP16;ZBTB49;NR2C2;LRP6;BCLAF3;NSD3;BCLAF1;NFIL3;PLAGL1;HSF2;NSD1;TP53INP1;VHL;BRD8;SF3B1;ATF7IP;TCF7L2;IFNB1;STAT3;FOXJ3;CDC5L;GTF2H1;TBX3;NFIA;KANSL2;TAF7;NAA16;TAF5;CRLF3;PAXBP1;SSBP2;SSBP3	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	147/1127	1.474511821254811e-10	1.324480243442134e-07	0	0	1.8721071428571427	42.379870308802296	ZNF331;NAB1;ZBTB26;JADE1;ZBTB20;JMJD1C;YEATS4;BACH1;YY1;GPBP1;ZNF326;SUPT20H;CCNL2;ZNF445;SOX4;ZNF562;MEF2C;ZNF680;ZBTB37;RC3H1;RFX3;ANK2;DICER1;ZBTB33;ATG14;HCFC2;FOXP1;MARF1;DMTF1;KAT6B;KAT6A;ADNP;ANKRA2;ZNF675;ZNF431;ZNF430;ZNF395;YTHDC1;ZBTB1;HNRNPLL;ATXN7;DHX36;UBR5;MBIP;BPTF;CCR1;MSR1;WWTR1;ZNF143;NDFIP2;TGFB2;NDFIP1;BTN2A2;BTN2A1;FZD7;GLMN;EIF2AK3;BRAF;NR1D2;FOXN3;ZBTB11;EZHIP;SMARCA2;CLK4;SMAD5;PUM2;ZBTB6;CDK6;FUBP3;ID2;FUBP1;ZNF536;RBAK;OGT;NFE2L2;RIGI;PICALM;LIN54;SETD2;ZNF131;DDX3X;RSF1;AFF4;ING4;FLCN;ING2;ING3;CASP8;ZC3H7A;YAF2;NCOA2;TGIF2;BTN3A1;ACTR6;IFNGR1;ATRX;MSL2;MSL3;BTN3A3;BAZ1A;ASH1L;BTN3A2;SIRT1;PTBP2;MSL1;MED23;RNF168;RBL2;GCFC2;KAT2B;ZNF519;HNRNPH1;ZNF638;IRF2;MTF2;CD46;TLR2;ZNF350;ZBTB49;SRSF1;NR2C2;PTHLH;TTN;NSD3;PPP2CB;NFIL3;ZNF507;TDG;NSD1;ZNF506;ZNF502;VHL;MBNL3;SRSF10;APBB3;ATF7IP;ZNF100;ZNF462;STAT3;ZNF33A;NFIA;KANSL2;ZNF217;SPRY2;KRAS;SSBP2;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	136/1025	2.414828002796751e-10	1.735295402809745e-07	0	0	1.9042920839714312	42.16906830893971	ZNF177;TCERG1;KDM1B;NAB1;ZBTB26;ZBTB20;ARID4A;ARID4B;BACH1;IKZF4;IKZF5;YY1;ELK4;EPC1;ZNF202;ZNF169;SOX4;MEF2A;MEF2C;MORC3;SMARCC2;ZBTB37;RFX3;DICER1;ZBTB33;HCFC2;FOXP1;DKK3;KAT6B;TBL1XR1;KAT6A;ZNF318;ZNF559;ZNF558;ZFPM2;ZNF675;ZNF431;URI1;DDX5;CTR9;ZBTB1;RTF1;ZNF24;FOXO3;FOXO1;PHF21A;ATXN1;MIER3;ORC2;HESX1;ZNF785;BPTF;CBX5;ZBTB14;CBX1;NFATC3;NR1D2;FOXN3;SMARCA2;SMAD7;DLG1;ZBTB6;ID2;ZNF658;PHF14;ZNF536;RBAK;OGT;ZNF136;EZH1;CREBZF;ZNF131;THRB;ZC3H8;RSF1;HMGB1;LDB2;N4BP2L2;ING1;ING4;FLCN;NIPBL;ING2;LBH;ZMYM2;ZNF529;ZMYM5;TRPS1;ZNF248;LRRFIP1;YAF2;ZNF641;ZNF124;USP47;TGIF2;ACTR6;EED;DNMT3A;SIRT1;ZHX1;ZNF75A;GCFC2;IRF2;RARB;PLCB1;HDAC2;SP100;NFIX;ZNF350;SATB1;CIPC;ZBTB49;CXXC5;ZNF8;NR2C2;BCLAF1;BTAF1;NFIL3;NSD1;BRD7;TAF9B;FNIP1;ZNF224;ATF7IP;TCF7L2;USP9X;STAT3;ZNF180;WWP1;ZNF77;TBX3;BRMS1L;ZNF217;TAF7;MPHOSPH8;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Chromatin Remodeling (GO:0006338)	45/228	4.458783308587822e-09	2.6700680712926744e-06	0	0	2.9910938420903275	57.513918649811814	KDM5A;LIN54;NFAT5;SETD2;HDAC2;USP15;SATB1;ZBTB1;RSF1;YEATS4;BAZ2B;CHD2;MYSM1;PRIMPOL;YY1;TDG;UBR5;GATAD1;PWWP2A;SMARCAD1;BRD7;ARID2;SF3B1;SKP1;BPTF;SS18;PCID2;SMARCC2;KDM4C;PHF10;BICRAL;GLMN;ATRX;BAZ1A;HCFC2;EZHIP;SMARCA2;RNF168;KAT2B;CFDP1;MTF2;TRIP12;TOP1;ASF1A;EZH1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	104/763	8.464299657238683e-09	4.3446040954940845e-06	0	0	1.9460553117609265	36.17212515756588	ZNF177;ZNF451;TCERG1;KDM1B;ZBTB26;ZBTB20;ARID4A;ARID4B;BACH1;IKZF5;ELK4;YY1;EPC1;ZNF169;ZNF202;SOX4;MEF2A;MEF2C;MORC3;PCID2;ZBTB37;DICER1;ZBTB33;HCFC2;TBL1XR1;ZNF559;ZNF558;ZFPM2;ZNF675;ZNF431;URI1;DDX5;CTR9;ZBTB1;RTF1;FOXO3;PHF21A;ATXN1;MIER3;ORC2;HESX1;ZNF785;BPTF;CBX5;CBX1;NR1D2;SMARCA2;SMAD7;DLG1;ZBTB6;ID2;PHF14;ZNF536;ZNF136;OGT;EZH1;ZNF131;THRB;HMGB1;LDB2;ING1;N4BP2L2;FLCN;ING2;NIPBL;ZNF529;ZMYM5;TRPS1;ZNF248;LRRFIP1;ZNF124;ZNF641;TGIF2;EED;DNMT3A;SIRT1;ZHX1;ZNF75A;IRF2;RARB;HDAC2;SP100;NFIX;ZNF350;SATB1;ZBTB49;CXXC5;ZNF8;NR2C2;NFIL3;NSD1;TAF9B;FNIP1;ZNF224;TCF7L2;USP9X;STAT3;ZNF180;ZNF77;TBX3;BRMS1L;ZNF217;TAF7;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Protein Ubiquitination (GO:0016567)	68/434	1.7068568932710843e-08	7.288821769444975e-06	0	0	2.2720934614659885	40.63872531385097	RNF13;UBE3A;CCAR1;RPGR;NPEPPS;RNF19A;FBXO4;RNF111;PCMTD1;FBXO9;HERC6;SKP1;ATG3;SHPRH;NHLRC3;MSL2;RC3H1;UBE4A;SIRT1;FBXO11;TOPORS;PJA2;RNF168;HECW2;BIRC6;TRIM52;MARCHF1;CUL5;UHRF2;TNKS;CUL3;RNF38;MYCBP2;UBR3;UBR1;KLHL13;RNFT1;RNF139;TNKS2;RNF217;UBR5;SPOP;MARCHF7;RBBP6;VHL;SASH1;MARCHF5;HACE1;ANKIB1;CRBN;UBE2B;USP9X;FANCL;FBXL17;WWP1;KLHL2;LNPEP;KLHL3;RNF146;ITCH;RNF103;TPP2;FBXL3;TRIP12;FBXL5;NFE2L2;TRIM34;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Protein Modification By Small Protein Conjugation (GO:0032446)	60/364	1.8257555225439686e-08	7.288821769444975e-06	0	0	2.408903479276537	42.92349676748507	ZNF451;SMC5;SMC6;CCAR1;RPGR;IFIH1;UFL1;FBXO4;RNF111;FBXO9;HERC6;SKP1;PCMTD1;ATG3;SHPRH;AKTIP;MSL2;UBE2E2;SIRT1;FBXO11;TOPORS;PJA2;SENP1;RNF168;HECW2;BIRC6;TRIM52;CUL5;UBA7;UHRF2;CUL3;UBA5;MYCBP2;RNF38;DCUN1D2;UBR3;KLHL13;UBR1;RNF139;RBBP6;VHL;RANBP2;SLF1;HACE1;SLF2;CRBN;UBE2B;USP9X;FBXL17;KLHL2;WWP1;KLHL3;COPS4;ITCH;RNF103;COPS5;UBA3;FBXL3;FBXL5;NFE2L2	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	81/557	2.3681694918046464e-08	8.508832984054094e-06	0	0	2.0867062377474865	36.63956388443084	KDM5A;YEATS4;RSF1;ING1;MED17;YY1;ZXDA;EDRF1;ING2;MED14;ING3;MED13;LBH;EPC1;EPC2;SUPT20H;YAF2;RNF111;SOX4;MAP3K5;NCOA1;MEF2C;PCID2;ANKRD49;SMARCC2;ATMIN;DYRK1A;MSL2;RFX3;MSL3;MED4;MSL1;KAT2B;ELF1;ELF2;KAT6B;TBL1XR1;KAT6A;ZNF318;PHIP;PLCB1;CREB5;KMT2E;HDAC2;SP100;USP16;KMT2A;FOXO3;FOXO1;LRP6;NSD3;MED30;NFIL3;ATXN7;NSD1;TP53INP1;TASP1;BRD8;NDP;VHL;ATF7IP;BICRAL;TGFB3;FZD7;STAT3;IL31RA;NR1D2;GTF2H1;SMARCA2;SMAD5;MLLT11;FUBP3;KANSL2;ID2;TAF7;TCF4;NAA16;TAF5;CRLF3;OGT;PICALM	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Protein Polyubiquitination (GO:0000209)	43/226	3.015956056170647e-08	9.851209190746486e-06	0	0	2.8543555981862574	49.42820187810033	MARCHF1;TNKS;CUL3;MYCBP2;UBE3A;NPEPPS;CDC23;HECTD1;TNKS2;RNF19A;RNF217;UBR5;FBXO4;SPOP;RFFL;SASH1;FBXO9;SKP1;MARCHF5;SHPRH;HACE1;ANKIB1;NHLRC3;UBE2B;UBE2E3;FBXO38;FBXL17;RC3H1;UBE2E2;UBE4A;ZFP91;LNPEP;KLHL3;TOPORS;RNF168;RNF146;ITCH;ANAPC4;TPP2;TRIP12;KBTBD7;TAF1;TRIM34	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	54/319	3.7501107274083315e-08	1.1228456536315112e-05	0	0	2.4824072084823516	42.44642114119135	UBXN2B;UBXN2A;LTN1;CDC23;FBXO4;FBXO3;UBXN7;UBXN4;FBXO9;SKP1;NHLRC3;UBE4A;ARMC8;SIRT1;TOPORS;PJA2;NEMF;TBL1XR1;ANAPC4;PLAA;SPOPL;FAM8A1;CUL5;CUL3;UBR3;UBR2;UBR1;FBXL20;AMN1;HECTD1;SPOP;FEM1C;RFFL;DCAF12;UBQLN2;KLHDC2;CRBN;UBE2B;CSNK1A1;FBXO38;SIAH1;FBXO39;KLHDC1;FBXL17;WWP1;ITCH;RNF103;PSMC6;FBXL3;TRIP12;FBXL5;KBTBD7;NFE2L2;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	61/384	5.5807656666497975e-08	1.5351891462177243e-05	0	0	2.30412643912846	38.48203307345494	SMG1;WDR48;MRE11;FMR1;MCM9;SMC5;SMC6;BACH1;YY1;ING2;NIPBL;HELB;TRAPPC13;TOPBP1;USP47;SHPRH;ATRX;UBE2E2;PPP4R3A;PPP4R3B;SIRT1;SPIDR;TOPORS;FOXP1;RNF168;RNF169;MSH3;CEP63;ASF1A;NFAT5;USP16;UBA7;BOD1L1;XPA;ZBTB1;XIAP;PDS5B;PDS5A;CDKN2AIP;FOXO1;BCLAF1;WRN;UBR5;RBBP6;MCL1;MBD4;SLF1;SLF2;CBX5;UBE2B;FANCL;CBX1;GTF2H1;SETX;FAM111A;POLA1;TAOK1;TRIP12;BCL2L2;ATR;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	59/367	5.981811312843902e-08	1.5351891462177243e-05	0	0	2.335905861611507	38.850686609578474	UBXN2B;RNF13;UBXN2A;FBXO21;CCAR1;RPGR;CDC23;RNF19A;UBXN7;FBXO8;RNF111;FBXO9;HERC6;SKP1;NHLRC3;RC3H1;UBE4A;VPS37A;ARMC8;SIRT1;FBXO11;TOPORS;KCTD6;PJA2;RNF168;TBL1XR1;PLAA;SPOPL;CHMP5;CUL3;VPS4B;UBR3;HECTD1;RNF217;SPOP;FEM1C;RBBP6;RFFL;KLHDC2;NDFIP2;HACE1;NDFIP1;ANKIB1;CRBN;UBE2B;CSNK1A1;USP9X;SIAH1;FBXL17;WWP1;KLHL3;RNF146;ITCH;PSMC6;UBQLNL;TRIP12;KBTBD7;NFE2L2;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	67/452	1.883986583127509e-07	4.512775862118093e-05	0	0	2.1245279045279046	32.89768913276366	ZNF331;LIN54;NAB1;JADE1;JMJD1C;YEATS4;RSF1;BACH1;ING4;ING2;ING3;GPBP1;YAF2;SOX4;ZNF562;NCOA2;MEF2C;ZNF680;TGIF2;ACTR6;ATRX;RFX3;MSL3;ASH1L;BAZ1A;HCFC2;MED23;GCFC2;KAT2B;DMTF1;ZNF519;KAT6B;KAT6A;MTF2;IRF2;ZNF675;ZNF431;ZNF430;ZNF395;ZNF350;NR2C2;NSD3;NFIL3;NSD1;ZNF506;MBIP;ZNF502;VHL;SRSF10;APBB3;BPTF;ZNF100;ATF7IP;ZNF143;WWTR1;FZD7;STAT3;NR1D2;FOXN3;ZBTB11;SMARCA2;ZNF33A;NFIA;ZNF217;ZNF536;RBAK;SSBP2	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Double-Strand Break Repair (GO:2000779)	21/88	2.563836865241298e-06	0.0005757416160507489	0	0	3.776393263042585	48.61730819004334	SETD2;SLF1;SMARCC2;SLF2;PHF10;YEATS4;PPP4R3B;SIRT1;SPIDR;SMARCA2;ING3;RNF169;UBR5;EPC1;SPIRE1;EPC2;TRIP12;BRD8;ARID2;BRD7;ATR	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	mRNA Processing (GO:0006397)	37/214	3.0330753292903883e-06	0.0006410493916553156	0	0	2.530070715007296	32.14691023748222	TCERG1;DBR1;DDX5;DDX46;YTHDC1;GEMIN2;SRSF1;CWF19L2;PPWD1;HNRNPR;HTATSF1;RNPC3;PNN;CWC22;DHX15;PAPOLA;RPRD1A;SF3B1;SRSF10;RBM5;SRSF12;USP49;RNGTT;SCAF11;CDC5L;PRPF4B;FBXO11;CDC40;GCFC2;HNRNPH1;FRG1;RBM41;SRSF3;SRSF6;PPIL3;SLU7;SRSF8	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	111/938	3.945639578885234e-06	0.0007875935003852581	0	0	1.647467269352932	20.49926965037099	TCERG1;CCNT2;CCNT1;KDM1B;UBP1;CCNC;GABPB1;YY1;ELK4;TBK1;PWWP2A;EPC1;SOX4;MEF2A;DDX17;MEF2C;RFX3;MED4;TBL1XR1;PHIP;ZFPM2;ZNF395;KMT2A;TNKS;KMT2C;CTR9;ZNF24;FOXO3;PRDM10;FOXO1;MED12L;PPP3R1;MED30;MED31;DHX36;BPTF;WWTR1;ZNF143;TGFB3;NFATC3;NR1D2;SMARCA2;SMAD5;SETX;AHI1;TFCP2;COPS5;FUBP3;CAPRIN2;CREBRF;TCF4;CDK12;LHX4;OGT;NFE2L2;RIGI;CREBZF;DDX3X;THRB;HMGB1;LDB2;EFCAB7;MEOX2;MYSM1;MED17;PPP3CA;FLCN;MED14;MED13;NCOA1;SS18;NCOA2;ATMIN;NCOA3;ATRX;SIRT1;SENP1;MED23;KAT2B;ELF1;IRF2;RARB;EAPP;TLR2;NFAT5;HDAC2;NFIX;USP16;ZBTB49;NR2C2;LRP6;BCLAF3;BCLAF1;PLAGL1;HSF2;BRD8;SF3B1;TCF7L2;IFNB1;STAT3;FOXJ3;CDC5L;TBX3;NFIA;TAF7;TAF5;CRLF3;PAXBP1;SSBP2;SSBP3;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of DNA Repair (GO:0006282)	26/129	5.240070859965208e-06	0.0009909249789397364	0	0	3.0453904240312006	37.02943674397235	YEATS4;YY1;SMCHD1;ING3;ATXN7;UBR5;USP1;EPC1;EPC2;SUPT20H;BRD8;ARID2;BRD7;SMARCC2;PHF10;PPP4R3B;CCDC117;SMARCA2;SIRT1;RNF168;RAD52;KAT2B;TAF7;TRIP12;TAF5;ATR	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	mRNA Splicing, Via Spliceosome (GO:0000398)	36/211	5.604789166576749e-06	0.0010069003737755	0	0	2.4884485203743973	30.090043582695863	DBR1;DDX5;DDX46;YTHDC1;GEMIN2;DDX1;SRSF1;CWF19L2;PPWD1;HNRNPR;HTATSF1;RNPC3;PNN;TGS1;CWC22;DHX15;SF3B1;SRSF10;RBM5;SRSF12;DDX17;USP49;SCAF11;CDC5L;PRPF4B;CDC40;GCFC2;HNRNPH1;FRG1;RSRP1;RBM41;SRSF3;SRSF6;PPIL3;SLU7;SRSF8	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Cytosolic Transport (GO:0016482)	25/127	1.2167573313820331e-05	0.0020818138531693	0	0	2.955186673881116	33.4430676255279	TMEM87A;STX16;SNX1;CCDC91;SNX2;AP1G1;VPS50;ANKFY1;VPS54;RAB6A;SPAG9;RAB6C;MON2;RIC1;VPS13C;HOOK3;ATG14;PREPL;RAB14;SNX16;KIF16B;PIK3C3;TBC1D23;RAB5A;RAB9B	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Embryonic Development (GO:0045995)	16/62	1.363959474088484e-05	0.0022275938138181	0	0	4.181864652259109	46.84747934896592	PHLDB1;POGLUT1;NR2C2;YY1;KAT2B;NIPBL;RAB14;TDG;DHX36;MBIP;NPHP3;TRIP12;PLCB1;PHLDB2;CLASP1;CLASP2	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Protein K48-linked Ubiquitination (GO:0070936)	17/70	1.7695475419327555e-05	0.0027643410078975	0	0	3.857442348008386	42.208911743907585	HACE1;UBE2B;UBE2E3;CUL3;FBXO38;MYCBP2;UBE2E2;UBE3A;KLHL3;TOPORS;RNF146;ITCH;UBR5;RFFL;KBTBD7;FBXO9;SKP1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260)	15/57	1.955702659280892e-05	0.0029278498561651	0	0	4.292008578888474	46.53471206072224	ZNF451;PCID2;MED4;PPM1D;MED17;MED23;MED14;MED13;MED30;DHX36;MED31;PWWP2A;TAF7;TAF5;TAF1	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	19/85	2.0726697592714823e-05	0.0029788409780249	0	0	3.4641539742979535	37.35774113087005	UPF2;SMG1;DDX5;TUT7;CNOT6L;TUT4;RC3H1;UPF3B;UPF3A;TENT4B;PNRC1;PAN2;CNOT6;XRN1;EXOSC8;EIF3E;TENT2;CNOT8;DCP2	Tumour_only	GO_Biological_Process_2023
GO_Biological_Process_2023	Histone H4 Acetylation (GO:0043967)	12/39	2.3968717817219627e-05	0.0033122924275873	0	0	5.335070575461455	56.75854078164456	ING4;ING3;KANSL2;JADE1;MSL2;EPC1;MSL3;YEATS4;EPC2;BRD8;OGT;MSL1	Tumour_only	GO_Biological_Process_2023
